ds,CPU_util
2018-06-29 20:53:00,16
2018-06-29 20:53:40,16
2018-06-29 20:58:00,16
2018-06-29 21:18:30,16
2018-06-29 22:00:30,16
2018-06-29 22:49:30,15
2018-06-29 22:50:40,15
2018-06-29 22:55:00,15
2018-06-29 22:57:00,15
2018-06-29 23:09:10,16
2018-06-29 23:09:40,17
2018-06-29 23:10:10,16
2018-06-29 23:14:40,15
2018-06-29 23:29:40,17
2018-06-29 23:30:00,15
2018-06-29 23:30:10,16
2018-06-29 23:47:30,15
2018-06-30 00:51:20,16
2018-06-30 00:55:40,16
2018-06-30 01:22:50,16
2018-06-30 01:55:40,15
2018-06-30 02:06:00,15
2018-06-30 02:06:40,15
2018-06-30 02:16:40,15
2018-06-30 03:01:20,15
2018-06-30 03:16:50,14
2018-06-30 03:41:50,15
2018-06-30 03:42:40,15
2018-06-30 03:47:20,15
2018-06-30 04:05:50,16
2018-06-30 04:19:00,16
2018-06-30 04:24:30,15
2018-06-30 04:31:40,16
2018-06-30 04:32:20,16
2018-06-30 04:50:40,16
2018-06-30 04:52:20,15
2018-06-30 05:36:10,16
2018-06-30 05:55:50,16
2018-06-30 05:58:30,16
2018-06-30 06:32:50,16
2018-06-30 07:04:00,19
2018-06-30 07:06:40,19
2018-06-30 07:18:40,18
2018-06-30 07:21:30,18
2018-06-30 07:32:40,18
2018-06-30 07:47:50,17
2018-06-30 08:01:50,19
2018-06-30 08:25:20,18
2018-06-30 08:25:50,18
2018-06-30 08:31:50,17
2018-06-30 09:02:00,18
2018-06-30 09:07:10,19
2018-06-30 09:16:50,17
2018-06-30 09:17:10,18
2018-06-30 09:40:00,17
2018-06-30 09:46:40,17
2018-06-30 09:47:50,17
2018-06-30 09:50:50,18
2018-06-30 09:55:00,17
2018-06-30 10:00:50,17
2018-06-30 10:10:40,17
2018-06-30 10:20:00,17
2018-06-30 10:27:50,17
2018-06-30 10:46:00,17
2018-06-30 10:54:10,18
2018-06-30 11:00:50,17
2018-06-30 11:08:50,18
2018-06-30 11:13:50,17
2018-06-30 11:18:10,18
2018-06-30 11:58:30,18
2018-06-30 12:06:30,18
2018-06-30 12:32:40,17
2018-06-30 12:37:40,17
2018-06-30 12:39:10,18
2018-06-30 12:40:00,17
2018-06-30 12:56:10,18
2018-06-30 13:03:00,18
2018-06-30 13:14:50,18
2018-06-30 13:15:10,20
2018-06-30 13:23:10,18
2018-06-30 13:33:20,18
2018-06-30 13:34:00,17
2018-06-30 13:40:40,17
2018-06-30 13:42:00,17
2018-06-30 14:18:10,18
2018-06-30 14:22:10,18
2018-06-30 14:40:30,17
2018-06-30 14:44:10,18
2018-06-30 14:44:50,17
2018-06-30 14:51:00,18
2018-06-30 14:58:10,18
2018-06-30 15:04:20,17
2018-06-30 15:05:50,17
2018-06-30 15:07:50,17
2018-06-30 15:08:10,18
2018-06-30 15:14:40,17
2018-06-30 15:33:50,17
2018-06-30 15:55:30,16
2018-06-30 16:16:10,17
2018-06-30 16:41:10,17
2018-06-30 16:49:40,18
2018-06-30 16:53:10,17
2018-06-30 17:04:10,17
2018-06-30 17:10:20,17
2018-06-30 17:13:40,17
2018-06-30 17:27:30,17
2018-06-30 17:31:50,16
2018-06-30 17:43:00,16
2018-06-30 18:04:00,16
2018-06-30 18:44:50,16
2018-06-30 18:52:30,16
2018-06-30 19:19:20,16
2018-06-30 19:21:30,16
2018-06-30 19:23:40,17
2018-06-30 19:36:00,16
2018-06-30 19:42:40,16
2018-06-30 19:50:40,16
2018-06-30 20:10:30,16
2018-06-30 20:25:10,17
2018-06-30 20:27:50,16
2018-06-30 20:50:50,16
2018-06-30 20:56:10,17
2018-06-30 21:06:30,16
2018-06-30 21:32:30,16
2018-06-30 21:47:30,16
2018-06-30 22:03:30,16
2018-06-30 22:12:30,16
2018-06-30 22:20:50,15
