ds,CPU_util,smoothed_CPU
2018-06-29 18:45:40,20,20.927578622587838
2018-06-29 18:45:50,19,20.734820760239828
2018-06-29 18:47:40,19,20.561338684143575
2018-06-29 18:56:10,21,20.605204815745665
2018-06-29 18:56:30,23,20.84468433425191
2018-06-29 19:16:20,23,21.060215900892175
2018-06-29 19:20:30,25,21.454194310910644
2018-06-29 19:22:20,25,21.808774879906803
2018-06-29 19:36:00,20,21.627897391876076
2018-06-29 19:37:10,21,21.565107652675955
2018-06-29 19:43:10,21,21.508596887398223
2018-06-29 19:49:40,19,21.257737198617914
2018-06-29 19:51:30,24,21.531963478795955
2018-06-29 20:28:20,21,21.478767130909407
2018-06-29 20:38:00,19,21.2308904177893
2018-06-29 21:05:00,17,20.807801375965568
2018-06-29 21:13:50,15,20.22702123831366
2018-06-29 21:17:10,16,19.804319114446038
2018-06-29 21:24:20,15,19.323887202964347
2018-06-29 21:33:20,14,18.791498482630924
2018-06-29 21:48:40,12,18.112348634325368
2018-06-29 21:50:00,13,17.60111377086406
2018-06-29 22:11:50,9,16.741002393734092
2018-06-29 22:12:00,10,16.066902154329956
2018-06-29 22:15:30,13,15.760211938884378
2018-06-29 22:28:30,12,15.384190744982055
2018-06-29 22:30:20,9,14.745771670462636
2018-06-29 22:35:10,9,14.171194503399187
2018-06-29 23:08:40,8,13.554075053042657
2018-06-29 23:10:20,7,12.898667547722514
2018-06-29 23:11:20,7,12.308800792937403
2018-06-29 23:24:00,7,11.777920713633245
2018-06-29 23:30:50,6,11.200128642259717
2018-06-29 23:33:20,6,10.68011577802548
2018-06-29 23:45:10,8,10.412104200219098
2018-06-29 23:45:50,6,9.970893780191508
2018-06-29 23:47:20,7,9.673804402168916
2018-06-30 00:06:30,6,9.306423961948193
2018-06-30 00:12:20,6,8.975781565750271
2018-06-30 00:18:10,6,8.67820340917273
2018-06-30 00:37:10,7,8.51038306825418
2018-06-30 00:47:30,6,8.259344761427045
2018-06-30 00:49:00,5,7.933410285282333
2018-06-30 01:10:00,6,7.740069256753029
2018-06-30 01:19:30,6,7.566062331076859
2018-06-30 01:33:20,6,7.409456097968469
2018-06-30 01:33:40,7,7.368510488171458
2018-06-30 01:38:30,6,7.231659439353814
2018-06-30 01:42:50,6,7.10849349541803
2018-06-30 01:56:50,6,6.997644145875901
2018-06-30 02:33:40,7,6.997879731288312
2018-06-30 03:01:20,6,6.898091758159243
2018-06-30 03:17:00,6,6.808282582343126
2018-06-30 03:20:20,6,6.727454324108657
2018-06-30 03:28:30,6,6.654708891697664
2018-06-30 03:34:30,5,6.48923800252764
2018-06-30 03:54:10,7,6.540314202274948
2018-06-30 04:09:30,6,6.486282782047385
2018-06-30 04:12:10,7,6.537654503842705
2018-06-30 04:39:00,7,6.583889053458482
2018-06-30 04:48:10,7,6.625500148112673
2018-06-30 05:18:50,7,6.662950133301437
2018-06-30 05:22:00,8,6.796655119971393
2018-06-30 05:32:20,9,7.016989607974402
2018-06-30 05:45:50,8,7.115290647177021
2018-06-30 05:54:40,9,7.303761582459422
2018-06-30 06:01:30,16,8.173385424213908
2018-06-30 06:09:10,13,8.65604688179273
2018-06-30 06:48:40,18,9.590442193613828
2018-06-30 07:00:20,21,10.731397974252854
2018-06-30 07:08:30,25,12.158258176828028
2018-06-30 07:18:20,26,13.542432359145629
2018-06-30 07:22:00,21,14.288189123231263
2018-06-30 07:26:50,22,15.059370210908316
2018-06-30 07:40:50,22,15.753433189817633
2018-06-30 07:46:40,24,16.578089870836028
2018-06-30 07:50:50,23,17.220280883752537
2018-06-30 07:58:40,23,17.798252795377373
2018-06-30 08:38:30,28,18.818427515839776
2018-06-30 08:38:50,25,19.436584764255873
2018-06-30 08:53:00,26,20.09292628783036
2018-06-30 09:27:30,28,20.883633659047405
2018-06-30 09:57:00,23,21.095270293142683
2018-06-30 09:59:20,25,21.485743263828446
2018-06-30 10:17:10,23,21.63716893744561
2018-06-30 10:25:10,24,21.873452043701068
2018-06-30 10:25:50,22,21.886106839330964
2018-06-30 10:45:50,21,21.797496155397862
2018-06-30 11:01:30,26,22.217746539858098
2018-06-30 11:06:50,23,22.29597188587229
2018-06-30 11:08:30,27,22.76637469728508
2018-06-30 11:09:10,25,22.98973722755658
2018-06-30 11:13:20,26,23.290763504800932
2018-06-30 11:36:10,25,23.461687154320842
2018-06-30 11:42:10,25,23.61551843888876
2018-06-30 11:47:50,23,23.553966594999885
2018-06-30 11:55:20,27,23.898569935499903
2018-06-30 12:00:20,29,24.408712941949922
2018-06-30 12:04:20,30,24.967841647754938
2018-06-30 12:09:40,25,24.971057482979443
2018-06-30 12:16:00,24,24.873951734681498
2018-06-30 12:36:30,28,25.18655656121335
2018-06-30 12:48:40,25,25.167900905092015
2018-06-30 13:02:40,25,25.151110814582815
2018-06-30 13:05:10,28,25.435999733124536
2018-06-30 13:41:00,25,25.392399759812083
2018-06-30 14:42:40,24,25.253159783830874
2018-06-30 14:44:30,28,25.52784380544779
2018-06-30 14:59:20,27,25.675059424903015
2018-06-30 15:17:40,23,25.407553482412712
2018-06-30 15:34:00,23,25.16679813417144
2018-06-30 15:36:50,22,24.850118320754294
2018-06-30 15:37:40,22,24.565106488678865
2018-06-30 16:06:10,22,24.308595839810977
2018-06-30 16:21:20,22,24.07773625582988
2018-06-30 16:34:50,19,23.56996263024689
2018-06-30 16:45:20,21,23.312966367222202
2018-06-30 17:11:00,19,22.881669730499983
2018-06-30 17:46:10,20,22.593502757449983
2018-06-30 17:48:00,19,22.23415248170498
