,mean,pi_lower,pi_upper
2023-05-14 18:30:30,22880.058075155874,14497.003148753965,31263.11300155778
2023-05-14 18:31:00,23040.74107496405,14541.152380696369,31540.329769231736
2023-05-14 18:31:30,23238.697177999733,14624.142064290627,31853.25229170884
2023-05-14 18:32:00,23548.240429070334,14820.225836770402,32276.255021370267
2023-05-14 18:32:30,23783.565445717955,14943.541539189453,32623.589352246458
2023-05-14 18:33:00,23922.832412660006,14972.195931674552,32873.46889364546
2023-05-14 18:33:30,24019.138402827797,14959.235759858795,33079.041045796796
2023-05-14 18:34:00,24140.740714373183,14972.870859585915,33308.61056916045
2023-05-14 18:34:30,24272.69638705458,14998.113461218862,33547.2793128903
2023-05-14 18:35:00,24397.695231476187,15017.611025136728,33777.77943781565
2023-05-14 18:35:30,24542.70606624934,15058.292301773894,34027.11983072478
2023-05-14 18:36:00,24493.406058174987,14905.796509746466,34081.01560660351
2023-05-14 18:36:30,24428.20256295715,14738.495028169546,34117.91009774475
2023-05-14 18:37:00,24193.411894977486,14402.670030424073,33984.1537595309
2023-05-14 18:37:30,24005.757954625362,14115.01298671893,33896.50292253179
2023-05-14 18:38:00,23661.138861609532,13671.391182837164,33650.8865403819
2023-05-14 18:38:30,23192.059255942433,13104.279915820904,33279.838596063964
2023-05-14 18:39:00,22797.28624679218,12612.418345944863,32982.1541476395
2023-05-14 18:39:30,22639.092777777274,12358.052772790543,32920.132782764005
2023-05-14 18:40:00,22512.331295465017,12136.010221493449,32888.65236943659
2023-05-14 18:40:30,22260.314078116957,11789.57869558484,32731.049460649076
2023-05-14 18:41:00,22074.86347255456,11510.55734373959,32639.16960136953
2023-05-14 18:41:30,21951.628867788997,11294.573368566571,32608.684367011425
2023-05-14 18:42:00,21776.371100231976,11027.366371799759,32525.375828664193
2023-05-14 18:42:30,21678.598105536395,10838.423950523958,32518.77226054883
2023-05-14 18:43:00,21850.115076714377,10919.531803707145,32780.69834972161
2023-05-14 18:43:30,22028.28570036232,11008.034920529059,33048.53648019559
2023-05-14 18:44:00,22005.801451447496,10896.606830652396,33114.9960722426
2023-05-14 18:44:30,21953.073522583443,10755.641492084389,33150.5055530825
2023-05-14 18:45:00,22172.81044678595,10887.830875366924,33457.79001820497
2023-05-14 18:45:30,22167.31555792643,10795.462388081669,33539.16872777119
2023-05-14 18:46:00,22239.62427480849,10781.556125386493,33697.69242423049
2023-05-14 18:46:30,22530.999791125694,10987.360528650817,34074.63905360057
2023-05-14 18:47:00,22695.128546610023,11066.54782732575,34323.7092658943
2023-05-14 18:47:30,22725.663162597586,11012.756947117547,34438.56937807763
2023-05-14 18:48:00,22853.436842530737,11056.8078848393,34650.065800222175
2023-05-14 18:48:30,22837.947971648835,10958.186284061398,34717.70965923627
2023-05-14 18:49:00,22895.934632924844,10933.617928497673,34858.25133735201
2023-05-14 18:49:30,22959.955735256386,10915.64984902574,35004.261621487036
2023-05-14 18:50:00,23225.980056473243,11100.239346802784,35351.7207661437
2023-05-14 18:50:30,23412.45483951338,11205.822570736598,35619.08710829016
2023-05-14 18:51:00,23749.851870849492,11462.860578309093,36036.84316338989
2023-05-14 18:51:30,24255.029332727914,11888.201171236507,36621.85749421932
2023-05-14 18:52:00,24662.1741524555,12216.021229130423,37108.32707578057
2023-05-14 18:52:30,24980.45129319498,12455.47598555445,37505.426600835504
2023-05-14 18:53:00,25358.180425335875,12754.87568548321,37961.48516518854
2023-05-14 18:53:30,25837.543824490414,13156.393470157345,38518.69417882348
2023-05-14 18:54:00,26138.302994872924,13379.78198804168,38896.82400170417
2023-05-14 18:54:30,26383.769581336273,13548.34429511274,39219.19486755981
2023-05-14 18:55:00,26687.62083625675,13775.749310623165,39599.492361890334
2023-05-14 18:55:30,26747.33232636805,13759.464513403296,39735.2001393328
2023-05-14 18:56:00,26710.19269137768,13646.770690495736,39773.61469225962
2023-05-14 18:56:30,26795.095895445258,13656.554179167697,39933.63761172282
2023-05-14 18:57:00,26810.3683154507,13597.133946197006,40023.6026847044
2023-05-14 18:57:30,26771.130283829203,13483.623122178826,40058.63744547958
2023-05-14 18:58:00,26728.363057422008,13366.995962274455,40089.73015256956
2023-05-14 18:58:30,26846.44424754771,13411.62326858119,40281.26522651423
2023-05-14 18:59:00,26847.39656011096,13339.521122916243,40355.271997305674
2023-05-14 18:59:30,26755.181398169167,13174.644482413105,40335.71831392523
2023-05-14 19:00:00,26745.911511132792,13093.099822085129,40398.72320018045
2023-05-14 19:00:30,26685.93167576853,12961.225809506474,40410.637542030585
2023-05-14 19:01:00,26422.331548316415,12626.106150903297,40218.556945729535
2023-05-14 19:01:30,26072.98057013002,12205.604491047725,39940.35664921232
2023-05-14 19:02:00,25835.68836977773,11897.52480987674,39773.85192967872
2023-05-14 19:02:30,25249.722353254976,11241.12900747137,39258.31569903858
2023-05-14 19:03:00,24789.079982406598,10710.409177481513,38867.75078733168
2023-05-14 19:03:30,24251.76481640715,10103.363643831475,38400.16598898283
2023-05-14 19:04:00,23805.83704260409,9588.047486999074,38023.626598209106
2023-05-14 19:04:30,23310.99310186087,9024.152164994179,37597.83403872756
2023-05-14 19:05:00,22699.196182300802,8343.63600292691,37054.75636167469
2023-05-14 19:05:30,22196.77918169667,7772.827151400608,36620.73121199274
2023-05-14 19:06:00,21761.05315600865,7269.032031222887,36253.07428079441
2023-05-14 19:06:30,21118.908174261443,6559.136184616889,35678.680163906
2023-05-14 19:07:00,20804.2521047384,6177.04305790232,35431.46115157448
2023-05-14 19:07:30,20066.794990313945,5372.458373459929,34761.13160716796
2023-05-14 19:08:00,19827.840173072884,5066.68125112067,34588.999095025094
2023-05-14 19:08:30,20199.145310748238,5371.465221504433,35026.82539999204
2023-05-14 19:09:00,20419.092407009863,5525.188253334107,35312.99656068562
2023-05-14 19:09:30,20982.22384806145,6022.388787176549,35942.058908946354
2023-05-14 19:10:00,21018.741720574308,5993.265050633105,36044.21839051551
2023-05-14 19:10:30,20489.39447025691,5398.561714273321,35580.2272262405
2023-05-14 19:11:00,20185.497342314724,5029.590329561197,35341.404355068255
2023-05-14 19:11:30,19733.621652700935,4512.918597669859,34954.32470773201
2023-05-14 19:12:00,19427.74238892294,4142.517967944901,34712.96680990098
2023-05-14 19:12:30,19313.812501024986,3964.3379266325574,34663.287075417415
2023-05-14 19:13:00,19089.711059418456,3676.2541525400884,34503.16796629682
2023-05-14 19:13:30,18976.160984169168,3498.9862442338963,34453.33572410444
2023-05-14 19:14:00,18905.018320857744,3364.3869938878343,34445.64964782765
2023-05-14 19:14:30,18975.118970689153,3371.2891154543086,34578.948825923995
2023-05-14 19:15:00,19092.484280010347,3425.710832313862,34759.257727706834
2023-05-14 19:15:30,19050.613527923608,3321.148363087743,34780.078692759475
2023-05-14 19:16:00,19187.958596207136,3396.0505898220617,34979.866602592214
2023-05-14 19:16:30,19448.79752793321,3594.692614931075,35302.902440935344
2023-05-14 19:17:00,19580.820142554807,3664.761374667816,35496.878910441796
2023-05-14 19:17:30,19892.95868852899,3915.186290187912,35870.731086870066
2023-05-14 19:18:00,20153.347937688555,4114.099360415659,36192.59651496145
2023-05-14 19:18:30,20449.15793817456,4348.667913522706,36549.64796282642
2023-05-14 19:19:00,20802.3524355049,4640.853026592395,36963.85184441741
2023-05-14 19:19:30,21016.251903862933,4793.97255555166,37238.5312521742
2023-05-14 19:20:00,21405.535927472294,5122.703515234709,37688.36833970988
2023-05-14 19:20:30,21591.37423130002,5248.213108818709,37934.53535378133
2023-05-14 19:21:00,21880.388990237774,5477.121035779575,38283.65694469598
2023-05-14 19:21:30,22031.887046418375,5568.731708023286,38495.04238481347
2023-05-14 19:22:00,22207.2024272132,5684.376766736754,38730.02808768964
2023-05-14 19:22:30,22450.07224519125,5867.790981237496,39032.353509145
