,mean,pi_lower,pi_upper
2023-05-14 18:35:30,1302.8657093121233,920.6397479618674,1685.091670662379
2023-05-14 18:36:00,1302.778233186387,916.2435483079576,1689.3129180648166
2023-05-14 18:36:30,1307.1351574170299,916.3390213589059,1697.9312934751538
2023-05-14 18:37:00,1311.383761472735,916.3719502079182,1706.3955727375517
2023-05-14 18:37:30,1312.2866171674646,913.10348471408,1711.4697496208491
2023-05-14 18:38:00,1313.2377856766986,909.926333750497,1716.5492376029003
2023-05-14 18:38:30,1314.515235416583,907.1171786674558,1721.9132921657101
2023-05-14 18:39:00,1317.5223490839633,906.078176241022,1728.9665219269045
2023-05-14 18:39:30,1316.5595615315372,901.1085927558149,1732.0105303072594
2023-05-14 18:40:00,1314.109390725744,894.689831446052,1733.5289500054362
2023-05-14 18:40:30,1316.417214309739,893.0662057955112,1739.7682228239667
2023-05-14 18:41:00,1319.177501487236,891.931168392221,1746.423834582251
2023-05-14 18:41:30,1318.999132521143,887.8926276134089,1750.1056374288773
2023-05-14 18:42:00,1313.7364707496479,878.8040170264696,1748.6689244728261
2023-05-14 18:42:30,1312.2747577823654,873.5496881530275,1750.9998274117033
2023-05-14 18:43:00,1312.3758621143122,869.8906568195839,1754.8610674090405
2023-05-14 18:43:30,1311.0566194990397,864.8429414229852,1757.2702975750942
2023-05-14 18:44:00,1313.0697735040228,863.158501521772,1762.9810454862736
2023-05-14 18:44:30,1316.5455143023687,862.96677479643,1770.1242538083075
2023-05-14 18:45:00,1318.4225974840797,861.2057941516404,1775.639400816519
2023-05-14 18:45:30,1317.1206564410543,856.294498505406,1777.9468143767026
2023-05-14 18:46:00,1313.90294316576,849.4954720964381,1778.310414235082
2023-05-14 18:46:30,1312.1733295126878,844.2119443510721,1780.1347146743035
2023-05-14 18:47:00,1310.8003355318085,839.3118169117197,1782.2888541518973
2023-05-14 18:47:30,1307.5792402810328,832.5897732272406,1782.568707334825
2023-05-14 18:48:00,1305.5811250390439,827.1163206205165,1784.0459294575712
2023-05-14 18:48:30,1306.2336436338703,824.3185595429975,1788.1487277247431
2023-05-14 18:49:00,1308.4605791169051,823.1197392407862,1793.801418993024
2023-05-14 18:49:30,1308.660028497732,819.9174415428797,1797.402615452584
2023-05-14 18:50:00,1305.9322953607477,813.8114725882051,1798.0531181332904
2023-05-14 18:50:30,1299.8494051321932,804.3733772560417,1795.3254330083446
2023-05-14 18:51:00,1303.0715193100286,804.2628526085737,1801.8801860114836
2023-05-14 18:51:30,1301.7476306994602,799.6284423849626,1803.8668190139579
2023-05-14 18:52:00,1299.4766998300424,794.068672719726,1804.8847269403589
2023-05-14 18:52:30,1298.0986221800995,789.4230187082567,1806.7742256519423
2023-05-14 18:53:00,1298.6272104654536,786.7048860737939,1810.5495348571133
2023-05-14 18:53:30,1299.1263214013786,783.9777373422861,1814.274905460471
2023-05-14 18:54:00,1300.4642296798224,782.1094652648985,1818.8189940947464
2023-05-14 18:54:30,1300.84975158134,779.308515905489,1822.3909872571908
2023-05-14 18:55:00,1297.6658959464914,772.9575391158476,1822.3742527771353
2023-05-14 18:55:30,1295.909637988707,768.0531618788796,1823.7661140985342
2023-05-14 18:56:00,1298.6776352422771,767.6917038117159,1829.6635666728384
2023-05-14 18:56:30,1301.2084763653836,767.1114255470943,1835.305527183673
2023-05-14 18:57:00,1301.6430979505647,764.4529451439654,1838.833250757164
2023-05-14 18:57:30,1302.2629689313844,761.9974221147434,1842.5285157480255
2023-05-14 18:58:00,1305.20079347307,761.8772599557141,1848.5243269904258
2023-05-14 18:58:30,1306.4881136119263,760.1237084442511,1852.8525187796017
2023-05-14 18:59:00,1303.0329267868426,753.6444808450715,1852.4213727286137
2023-05-14 18:59:30,1301.722267929286,749.3263356909177,1854.1182001676543
2023-05-14 19:00:00,1295.6821188436782,740.2949858686276,1851.0692518187288
2023-05-14 19:00:30,1295.9214305796618,737.5591207112227,1854.2837404481008
2023-05-14 19:01:00,1293.7181028889272,732.3963851878696,1855.0398205899849
2023-05-14 19:01:30,1292.6069524017673,728.3413478261241,1856.8725569774106
2023-05-14 19:02:00,1295.4071859341182,728.2129737765024,1862.601398091734
2023-05-14 19:02:30,1296.7571071067268,726.6493312003589,1866.8648830130946
